experiment,algorithm,beta,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed,iter,alg_duration,cge_duration
3,deepWalk,1.2,1.5,0.006775600442204867,0.0076564890275072732,0.0058947118569024608,128,200,0,diameter,exp3_network_seed16_param1_2.dat,1607666292,00:07:53.220975,00:00:11.836970
3,deepWalk,1.2,1.5,0.0083093953209129479,0.008721273699233853,0.0078975169425920429,128,200,0,diameter,exp3_network_seed17_param1_2.dat,1607666292,00:07:46.357054,00:00:12.064510
3,deepWalk,1.2,1.75,0.0041709785970438186,0.0052304390064089237,0.003111518187678713,128,200,0,diameter,exp3_network_seed18_param1_2.dat,1607666292,00:07:51.142142,00:00:11.872627
3,deepWalk,1.2,2,0.0071590736173087095,0.0070963106762438662,0.0072218365583735537,128,200,0,diameter,exp3_network_seed19_param1_2.dat,1607666292,00:07:48.764568,00:00:11.854962
3,deepWalk,1.1,1.75,0.0063566663714393424,0.0083399600192555073,0.0043733727236231774,128,200,0,diameter,exp3_network_seed1_param1_1.dat,1607666292,00:07:51.285922,00:00:11.872841
3,deepWalk,1.3,1.75,0.0085264824184448969,0.0097080444983111656,0.0073449203385786291,128,200,0,diameter,exp3_network_seed20_param1_3.dat,1607666292,00:07:49.508857,00:00:11.732344
3,deepWalk,1.3,1.75,0.00909903941945291,0.0098970855925864677,0.00830099324631935,128,200,0,diameter,exp3_network_seed21_param1_3.dat,1607666292,00:07:54.898774,00:00:11.625565
3,deepWalk,1.3,1.75,0.007637824257987807,0.0083184783915892756,0.0069571701243863384,128,200,0,diameter,exp3_network_seed22_param1_3.dat,1607666292,00:07:49.045091,00:00:11.983331
3,deepWalk,1.3,1.5,0.005631471933647084,0.0062861726024765092,0.00497677126481766,128,200,0,diameter,exp3_network_seed23_param1_3.dat,1607666292,00:07:43.920913,00:00:11.916126
3,deepWalk,1.3,1.75,0.0065674967685444025,0.007442182045740868,0.0056928114913479379,128,200,0,diameter,exp3_network_seed24_param1_3.dat,1607666292,00:07:52.636917,00:00:11.819121
